Complexity,Loss,Equation
1,475.1249,"39.85272"
3,173.2318,"x0 * 1.2413146e-8"
4,21.480597,"cube(x0 * 9.49981e-10)"
5,0.93825126,"-63.902996 + (x0 * 3.0271e-8)"
7,0.9382507,"((x0 * 3.0271e-8) + -63.908062) - -0.0053822147"
8,0.80522174,"-97.2985 + (sqrt(cube(sqrt(x0))) * 9.72282e-6)"
10,0.2156673,"-63.908062 + ((x0 * 3.0271558e-8) - sin(-1.9849374e-7 * x0))"
12,0.19063762,"-63.908062 + ((x0 * 3.0271558e-8) - (sin(-1.9849374e-7 * x0) / 0.8162302))"
13,0.07542622,"(-97.30093 + (sqrt(cube(sqrt(x0))) * 9.72282e-6)) - sin(-1.9849308e-7 * x0)"
15,0.04875469,"(-97.30093 + (sqrt(cube(sqrt(x0))) * 9.7227485e-6)) - (sin(-1.9849308e-7 * x0) / 0.812295)"
17,0.0465864,"(-97.30093 + (sqrt(cube(sqrt(x0))) * 9.722806e-6)) - (sin((-1.9857404e-7 * x0) - -0.2879283) / 0.8113087)"
19,0.046567854,"((sqrt(cube(sqrt(x0) - 9.486518)) * 9.725027e-6) + -97.2985) - (sin((-1.9857391e-7 * x0) - -0.2879283) / 0.8113087)"
